id,commit,build,exec_time,comment,fix,lastFix
0,49e9565f,SUCCESS,10,Shut off i18n warnings if the user didn't ask for i18n. Fixes issue 1135 R=blickly,{},
1,aae547f4,SUCCESS,16.0,Don't try to process jsdoc nodes twice. Fixes issue 1144 R=blickly,{},
2,acd31d12,SUCCESS,16.0,Add function to detect namespace declarations. ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=57153066,{},
3,e9bbaba7,SUCCESS,16.0,Remove trailing whitespace ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=57087170,{},
4,7b116a69,SUCCESS,16.0,Externs version rollover dance for Maps API V3.15 ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=57074743,{},
5,5ce4b296,SUCCESS,16.0,Don't crash on hook that contains function expressions.,{},
6,db3512cd,SUCCESS,17.0,Make key in for-in not typable. ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=57017457,{},
7,44f3ac5f,SUCCESS,16.0,Use the correct name when warning for private-property bad access. ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=57013848,{},
8,9589435e,SUCCESS,16.0,"Updates chrome.system.display externs to define properties on the prototype, and sets bounds, overscan, and workArea to be non-null. ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=57011565",{},
9,a279204f,SUCCESS,16.0,Rolling forward 56736223,{},
10,8e6f8e2f,SUCCESS,17.0,"Don't report ""unnecessary cast"" warnings when casting to or from a type that is NoResolvedType. In these situations, we don't even know if the cast is valid, so it doesn't make sense to say that it's unnecessary. ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=56999309",{},
11,637c427a,SUCCESS,16.0,Fixing a type for ExtensionInfo.prototype.homepageUrl ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=56986959,{},
12,a62a73c1,SUCCESS,17.0,"When inferring the signature of functions in call expressions, restrict any unions to function types ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=56917038",{},
13,42d87e8c,SUCCESS,16.0,Adding definitions for chrome.system.display ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=56871701,{},
14,f3da8633,SUCCESS,17.0,"Infer ""this"" for function expressions in calls when they declare parameters. This fixes one of the common causes for property references off of ""unknown"" objects types. ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=56864362",{},
15,aeed47f4,SUCCESS,16.0,Better type inference on declared vars. Fixes issue 1056 R=johnlenz,{},
16,d6eebf33,SUCCESS,17.0,Add a helper for tests,{},
17,7f8a374e,SUCCESS,16.0,Put the extra smart name removal run behind a flag and turn it off by default until we can investigate the failures. ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=56758848,{},
18,42232474,SUCCESS,16.0,Upgrade args4j to 2.0.26,{},
19,b6a84c53,SUCCESS,16.0,"Various extern updates including adding definitions for borderRadius styles, jQuery.triggerHandler and the Google Feed API.",{},
20,bad08036,SUCCESS,17.0,Automated g4 rollback of changelist 56736223.,{},
21,e908a782,SUCCESS,15.0,Switch to the non-private chrome.system.storage API for device attach/detach support. ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=56736223,{},
22,fd866fff,SUCCESS,17.0,Add @Deprecated annotations to declarations with @deprecated javadoc tags ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=56733704,{},
