id,commit,build,exec_time,comment,fix
0,687b2e62,SUCCESS,6,LANG-747 NumberUtils does not handle Long Hex numbers,{}
1,2c454a4c,SUCCESS,7,"LANG-837 Add ObjectUtils.toIdentityString methods that support StringBuilder, StrBuilder, and Appendable",{}
2,47d59745,SUCCESS,6,short circuit (un)capitalize if string is already (un)capitalized.,{}
3,6b5acb4b,SUCCESS,6,Add tests for new Javadoc examples,{}
4,de63ae7c,SUCCESS,7,Clarify Javadoc,{}
5,a6bd2d2d,SUCCESS,8,Add more tests showing the behaviour on the index boundary,{}
6,3f3d00f4,SUCCESS,9,Javadoc - more copy-paste errors converting first to last Add details of invariants,{}
7,b3e9b048,SUCCESS,10,Javadoc typo,{}
8,ed74559f,SUCCESS,8,Statements unnecessarily nested within else clause.,{}
9,fead2dab,SUCCESS,8,Statements unnecessarily nested within else clause.,{}
10,3fd1e194,SUCCESS,7,Statement unnecessarily nested within else clause.,{}
11,bf2ea1b3,SUCCESS,7,Use String#isEmpty() instead of String#length() == 0,{}
12,9bcdb80c,SUCCESS,7,LANG-896 BooleanUtils.toBoolean(String str) javadoc is not updated,{}
13,09d39029,SUCCESS,7,"LANG-879 LocaleUtils test fails with new Locale ""ja_JP_JP_#u-ca-japanese"" of JDK7",{}
14,aefc12c3,SUCCESS,7,LANG-836 StrSubstitutor does not support StringBuilder or CharSequence Forgot to correct @since tags,{}
15,9420e869,SUCCESS,7,LANG-836 StrSubstitutor does not support StringBuilder or CharSequence,{}
16,586fed1b,SUCCESS,7,LANG-894 some doap files have incorrect download page,{}
17,2c9c8753,SUCCESS,6,LANG-693 Method createNumber from NumberUtils doesn't work for floating point numbers other than Float,{}
18,1f001d06,SUCCESS,7,more assertions trying to flush out bugs I'd already fixed :P,{}
19,ccddbbd3,SUCCESS,6,[LANG-887] Use the cache in FastDateParser correctly.,{}
20,eccfbc4c,SUCCESS,7,Use spaces instead of tabs to indent code,{}
21,9f2c007c,SUCCESS,6,Comment why a anonymous subclass is used here,{}
22,67ebecaa,SUCCESS,6,Revert r1479663 because of veto raised on the ML. This test should show that users can provide their own implementations of ExceptionContext.,{}
23,2b85848c,SUCCESS,7,No need to define an anonymous subclass here,{}
24,4997fb16,SUCCESS,6,"Suppress warning, we only assign the variable to make sure the expected exception is thrown",{}
25,132b0605,SUCCESS,7,Rewrite to avoid (im)possible NPE warning,{}
26,bf1ba044,SUCCESS,7,Javadoc.,{}
27,51bc8df8,SUCCESS,8,Fix some formatting.,{}
28,c3ca9d97,SUCCESS,7,Simpler (the prefix is still needed as .<T> cannot start a method call),{}
29,01b459d0,SUCCESS,7,Eliminate one unchecked warning; localise and document others,{}
30,9d9aa683,SUCCESS,7,LANG-884 Simplify FastDateFormat; eliminate boxing,{}
31,bc73f131,SUCCESS,7,Applying Joanne's subsequent patch from LANG-875 making appendIfMissing use the same logic for null as endsWith (by reusing endsWith).,{}
32,973c4698,SUCCESS,7,Javadoc typo,{}
33,fb47b96a,SUCCESS,6,Allow LookupTranslator to support CharSequence properly; previously it was working only for CharSequence's that implemented hashCode and equals(Object). LANG-882,{}
34,4ddbd99c,SUCCESS,6,Adding a javadoc note regarding LANG-882,{}
35,87c02609,SUCCESS,7,"Added more detail to the explanation of the oddly backwards way that difference(String, String) works as noted in LANG-784",{}
36,0ccdf9c6,SUCCESS,6,[LANG-754] Fix ClassUtils.getShortName to only do a reverse lookup for array types.,{}
37,6ee75ef4,SUCCESS,7,"Add a CharSetUtils.containsAny(String, String) per LANG-886",{}
38,65b8fbba,SUCCESS,6,Documenting the LANG-846 fix,{}
39,12e803d6,SUCCESS,6,"Adding Dmitry Katsubo's patch from LANG-846, providing CharSequenceUtils.regionMatches with a proper green implementation instead of inefficiently converting to Strings",{}
40,d2b34a9e,SUCCESS,7,Avoid compilation warnings,{}
41,3c85a43e,SUCCESS,6,Unused import,{}
42,a839154d,SUCCESS,7,Javadoc corrections,{}
43,16b9f183,SUCCESS,6,Fix Javadoc api URLs,{}
44,12035df2,SUCCESS,7,Added escape/unescapeJson methods per Maurizio Cucchiara's patch in LANG-797,{}
45,76cc6a62,SUCCESS,6,Fixing the @since for LANG-875,{}
46,17a40087,SUCCESS,7,Noted LANG-875 in the changes.xml,{}
47,8d11c4a3,SUCCESS,6,Applying Joanne Polsky's patch adding appendIfMissing/prependIfMissing methods to StringUtils [LANG-875],{}
48,8a08c114,SUCCESS,6,Add tests to try and break createNumber exponent handling,{}
49,2d460b75,SUCCESS,7,Document why double exponent (e and E) seems to work even though the index will be wrong,{}
50,0d36b962,SUCCESS,6,Factor out number failure tests,{}
51,860b0f87,SUCCESS,6,Show input as well as output for failures,{}
52,54ef0782,SUCCESS,6,Fix test failure comments,{}
53,e437b352,SUCCESS,6,No need to check for Java 1.3+ any more,{}
54,f5d8a8ff,SUCCESS,7,LANG-881 NumberUtils.createNumber() Javadoc says it does not work for octal numbers,{}
55,fe350b29,SUCCESS,6,LANG-881 Enhance test so it also checks the exact values,{}
56,5d27970a,SUCCESS,7,Statements unnecessarily nested within else clauses.,{}
57,4ee69738,SUCCESS,6,Fix up URLs so they point to actual sites; this allows relative URLs to work properly,{}
58,4e585a4a,SUCCESS,6,Updating changes file for two recent commits,{}
59,4c6be0a2,SUCCESS,7,"Fixing urls to point to new oracle pages and not old, sometimes broken, sun urls",{}
60,560f5b9b,SUCCESS,7,Fixing link from javadoc to point to new oracle site,{}
61,a58a3fd6,SUCCESS,8,Adding CR and LF to StringUtils. LANG-870,{}
62,5055925a,SUCCESS,7,"[LANG-873] Add FieldUtils getAllFields() to return all the fields defined in the given class and super classes. Alternate impl that splits into two APIs, one with an array result, the other with a List.",{}
63,b1f84bc5,SUCCESS,7,"[LANG-873] Add FieldUtils getAllFields() to return all the fields defined in the given class and super classes. Alternate impl that splits into two APIs, one with an array result, the other with a List.",{}
64,a8c1d14e,SUCCESS,6,[LANG-873] Add FieldUtils getAllFields() to return all the fields defined in the given class and super classes.,{}
65,65d6c855,SUCCESS,6,trivial: remove unnecessary <p> tags in one line JavaDoc comments,{}
66,bbebb35b,SUCCESS,7,trivial: remove trailing white spaces,{}
67,60a29537,SUCCESS,7,maven-pmd-plugin 2.7.1 -> 3.0.1.,{}
68,d7ea6207,SUCCESS,7,Remove useless parentheses (PMD).,{}
69,0b06e235,SUCCESS,6,Fix PMD: Avoid modifiers which are implied by the context.,{}
70,fb091b63,SUCCESS,6,[LANG-873] Add FieldUtils getDeclaredFields() to return all the fields defined in the given class and super classes.,{}
71,bb9ff729,SUCCESS,7,fix distManagement/site,{}
72,1be883a9,SUCCESS,7,fix rat report configuration,{}
73,c4c908a9,SUCCESS,7,add missing license header,{}
74,fbc88659,SUCCESS,7,fix link,{}
