id,commit,build,exec_time,comment,fix,lastFix
0,687b2e6,SUCCESS,9.0,LANG-747 NumberUtils does not handle Long Hex numbers,{'lastFix': None},
1,2c454a4,SUCCESS,8.0,"LANG-837 Add ObjectUtils.toIdentityString methods that support StringBuilder, StrBuilder, and Appendable",{'lastFix': None},
2,47d5974,SUCCESS,8.0,short circuit (un)capitalize if string is already (un)capitalized.,{'lastFix': None},
3,6b5acb4,SUCCESS,8.0,Add tests for new Javadoc examples,{'lastFix': None},
4,de63ae7,SUCCESS,8.0,Clarify Javadoc,{'lastFix': None},
5,a6bd2d2,SUCCESS,9.0,Add more tests showing the behaviour on the index boundary,{'lastFix': None},
6,3f3d00f,SUCCESS,8.0,Javadoc - more copy-paste errors converting first to last Add details of invariants,{'lastFix': None},
7,b3e9b04,SUCCESS,7.0,Javadoc typo,{'lastFix': None},
8,ed74559,SUCCESS,9.0,Statements unnecessarily nested within else clause.,{'lastFix': None},
9,fead2da,SUCCESS,8.0,Statements unnecessarily nested within else clause.,{'lastFix': None},
10,3fd1e19,SUCCESS,7.0,Statement unnecessarily nested within else clause.,{'lastFix': None},
11,bf2ea1b,SUCCESS,8.0,Use String#isEmpty() instead of String#length() == 0,{'lastFix': None},
12,9bcdb80,SUCCESS,9.0,LANG-896 BooleanUtils.toBoolean(String str) javadoc is not updated,{'lastFix': None},
13,09d3902,SUCCESS,6.0,"LANG-879 LocaleUtils test fails with new Locale ""ja_JP_JP_#u-ca-japanese"" of JDK7",{'lastFix': None},
14,aefc12c,SUCCESS,8.0,LANG-836 StrSubstitutor does not support StringBuilder or CharSequence Forgot to correct @since tags,{'lastFix': None},
15,9420e86,SUCCESS,9.0,LANG-836 StrSubstitutor does not support StringBuilder or CharSequence,{'lastFix': None},
16,586fed1,SUCCESS,7.0,LANG-894 some doap files have incorrect download page,{'lastFix': None},
17,2c9c875,SUCCESS,9.0,LANG-693 Method createNumber from NumberUtils doesn't work for floating point numbers other than Float,{'lastFix': None},
18,1f001d0,SUCCESS,9.0,more assertions trying to flush out bugs I'd already fixed :P,{'lastFix': None},
19,ccddbbd,SUCCESS,7.0,[LANG-887] Use the cache in FastDateParser correctly.,{'lastFix': None},
20,eccfbc4,SUCCESS,9.0,Use spaces instead of tabs to indent code,{'lastFix': None},
21,9f2c007,SUCCESS,9.0,Comment why a anonymous subclass is used here,{'lastFix': None},
22,67ebeca,SUCCESS,8.0,Revert r1479663 because of veto raised on the ML. This test should show that users can provide their own implementations of ExceptionContext.,{'lastFix': None},
23,2b85848,SUCCESS,9.0,No need to define an anonymous subclass here,{'lastFix': None},
