id,commit,build,exec_time,comment,fix
0,0da657a,SUCCESS,40.0,[MATH-996] Fix creation of Fraction/BigFraction objects in maxDenominator mode when the value is close to an actual fraction.,{}
1,1780da7,SUCCESS,18.0,Added Thorsten Schaefer to contributors.,{}
2,3815732,SUCCESS,18.0,Fix change message.,{}
3,8dc518b,SUCCESS,18.0,"[MATH-1028] Added new distance metric EarthMoversDistance, thanks to Thorsten Schaefer.",{}
4,8a71be7,SUCCESS,17.0,Fix Id tags.,{}
5,ae36380,SUCCESS,17.0,"""final"" keyword.",{}
6,7eed992,SUCCESS,18.0,"[MATH-999] Improve performance of DiagonalMatrix.preMultiple(RealVector), thanks to Ajo Fod.",{}
7,0039af5,SUCCESS,17.0,Added a convenience createConstant method for DerivativeStructure.,{}
8,66b1ab0,SUCCESS,17.0,Improved handling of negative arguments for power function.,{}
9,4867e1f,SUCCESS,17.0,Increase code locality.,{}
10,784b124,SUCCESS,18.0,presize collections,{}
11,48b1e6a,SUCCESS,17.0,simplify string to primitive conversion,{}
12,1111de7,SUCCESS,18.0,remove dead store to 'resultb',{}
13,d056884,SUCCESS,17.0,Added method to compute a^x for double a and DerivativeStructure x.,{}
14,a4e559e,SUCCESS,18.0,Fixed checkstyle warnings.,{}
15,dba03ef,SUCCESS,17.0,Extending the validity range of the check.,{}
16,d40d9b4,SUCCESS,17.0,"Added CombinatoricsUtils to the util package, moving binomial coefficients, factorials and Stirling numbers there and adding a combinations iterator. JIRA: MATH-1025",{}
17,e7d45d8,SUCCESS,17.0,MATH-1014 Deprecation markers.,{}
18,577613d,SUCCESS,18.0,MATH-1014 Javadoc.,{}
19,fd5221c,SUCCESS,17.0,"MATH-1014 ""GaussianCurveFitter"" as replacement of ""GaussianCurveFitter"".",{}
20,270a569,SUCCESS,17.0,MATH-1014 Deprecation markers.,{}
21,b6cdd7f,SUCCESS,18.0,MATH-1014 Javadoc.,{}
22,f1e085f,SUCCESS,16.0,MATH-1014 Javadoc.,{}
23,2f24562,SUCCESS,17.0,"MATH-1014 New class ""AbstractCurveFitter"" as replacement for ""CurveFitter"".",{}
24,2650440,SUCCESS,17.0,"MATH-1014 Container for storing observations, to allow separating the curve fitting algorithms from the data to be fitted.",{}
25,699de4b,SUCCESS,17.0,Suppress long tar file name warnings,{}
26,f327482,SUCCESS,18.0,Temp hack to fix CP32 jacoco bug,{}
27,60d1d8a,FAIL,18.0,Latest JUnit version,{}
28,5dd8e6f,FAIL,18.0,"MATH-1008 Deprecated least-squares optimizers in package ""o.a.c.m.optim.nonlinear.vector"".",{}
29,7f47d3b,FAIL,18.0,"MATH-1008 Added ""shallowCopy"" method.",{}
30,1dfa15e,FAIL,17.0,Javadoc.,{}
31,1656c2d,FAIL,18.0,"MATH-1019 Removed dead link in Javadoc; added entry to original reference in ""LICENCE"" file.",{}
32,c3ef1ea,FAIL,18.0,MATH-1022 Fixed Javadoc.,{}
33,2ee362d,FAIL,17.0,"MATH-991 Update ""changes.xml"".",{}
34,c2c7e43,FAIL,18.0,"MATH-1010 Deleted obsolete method (replaced by ""MathArrays.shuffle"").",{}
35,3cbdc6d,FAIL,17.0,"MATH-989 Update ""changes.xml"". Javadoc.",{}
36,c0b655a,FAIL,17.0,MATH-1021 Reordering can prevent some overflow occurrences (fix suggested by Brian Bloniarz). Added unit test.,{}
37,ad5c90b,FAIL,18.0,"Update ""changes.xml"".",{}
38,b6086d8,FAIL,18.0,MATH-1010 Make use of the RNG supplied as argument.,{}
39,5370fa4,FAIL,17.0,"MATH-1008 Simplification of the code introduced in revision 1508481. The changes only focus on the ""fluent API"" aspect (rather than also try to achieve thread-safety through immutability). Class ""AbstractOptimizer"" introduced to serve as the base class for all optimizers (i.e. replace the current ""BaseOptimizer"").",{}
40,c96f11d,FAIL,19.0,"MATH-1020. Fixed ""nextPermutation"" in ""RandomDataGenerator"". Bug showed up when using a fixed version of ""shuffle"" (MATH-1019) added in ""MathArrays"" (MATH-1010). Added overloaded ""shuffle"" method (used in the above fix).",{}
41,8e6a208,FAIL,17.0,"MATH-1010 Added utility to shuffle an array (based on the method ""shuffle"" located in ""o.a.c.m.random.RandomDataGenerator""). See also MATH-1019.",{}
42,74056a1,FAIL,18.0,Update release version for new features.,{}
43,f5f066f,FAIL,17.0,Unused import.,{}
44,6d89e2d,FAIL,17.0,MATH-1012 Removed duplicate code.,{}
45,db1023c,FAIL,18.0,Removed duplicate code.,{}
46,7f4afb3,FAIL,16.0,Javadoc.,{}
47,5179bb4,FAIL,17.0,"Cleared ""FindBugs"" warnings.",{}
48,e8e11a6,FAIL,18.0,Javadoc.,{}
49,8f5cb2b,FAIL,18.0,MATH-1012 Factory class.,{}
