id,commit,build,exec_time,comment,fix
0,4e9d76078,SUCCESS,13,Fixes #188 : attempt to implement logic for varargs capture,{}
1,837fd054a,SUCCESS,7,Fixes #188 : logic reverted to state when Mockito used simple capturing only,{}
2,144e32d26,SUCCESS,6, Fixes #188 : added test that revealed bug.,{}
3,41b184237,SUCCESS,7,Fixes #188 : Cleaned CapturingArgumentsTest a bit before adding new test methods.,{}
4,0cd01b9d9,SUCCESS,6,Merge pull request #219 from SimenB/gitattributes,{}
5,8e94fbf04,SUCCESS,6,Add .gitattributes to enforce LF,{}
6,0fb980bea,SUCCESS,6,Adds more details in the release not,{}
7,db995e75d,SUCCESS,6,Increment version '2.0.11-beta' -> '2.0.12-beta' by Travis CI build 463 [ci skip],{}
8,2a3923a04,SUCCESS,5,"""Update release notes by Travis CI build 463 [ci skip]""",{}
9,0c79e427b,SUCCESS,6,Package can be null on generated classes,{}
10,cb645cfd1,SUCCESS,6,Custom naming strategy was not applied for signed jar,{}
11,8ceb04ad7,SUCCESS,6,Adds empty iterable as a new empty value #210,{}
12,6237bd6e8,SUCCESS,7,Adds a separator between 1.x and 2.x releases,{}
13,2b8aa5846,SUCCESS,7,Increment version '2.0.10-beta' -> '2.0.11-beta' by Travis CI build 460 [ci skip],{}
14,b11e56f00,SUCCESS,6,"""Update release notes by Travis CI build 460 [ci skip]""",{}
15,d68edffef,SUCCESS,7,Updates Mockito doc with new features up to 1.10.19,{}
16,012295459,SUCCESS,5,Other release notes fixes,{}
17,b277637a1,SUCCESS,6,"Updates MockMaker javadoc, replacing CGLIB by byte-buddy",{}
18,7b3028feb,SUCCESS,6,Fixes missing entry in the release note,{}
19,2447b57c5,SUCCESS,6,Fixes javadoc syntaxhighlighting,{}
20,03028f009,SUCCESS,7,Increment version '2.0.9-beta' -> '2.0.10-beta' by Travis CI build 458 [ci skip],{}
21,1864354ab,SUCCESS,6,"""Update release notes by Travis CI build 458 [ci skip]""",{}
22,ceaae6ab9,SUCCESS,6,Migrates javadoc task from ant to gradle,{}
23,05219d517,SUCCESS,7,Replaces tabs by spaces,{}
24,d26f5db90,SUCCESS,6,Removes all CRLF line ending created by misconfigured Windows IDE,{}
25,e68fc38ec,SUCCESS,6,Adds line ending info,{}
26,fa9cceed1,SUCCESS,6,Merge branch 'bytebuddy-mockmaker',{}
27,4c1059829,SUCCESS,5,Adds bric3 to the list of mockito developers,{}
28,151a507a1,SUCCESS,6,Upgrades to gradle 2.4,{}
29,3b445aa05,FAIL,0,Upgrades code to byte-buddy 0.6.8,{}
30,425a6745f,FAIL,0,Increment version '2.0.8-beta' -> '2.0.9-beta' by Travis CI build 456 [ci skip],{}
31,a5b6ede2e,FAIL,0,"""Update release notes by Travis CI build 456 [ci skip]""",{}
32,ce3d2fbb7,FAIL,1,Merge pull request #207 from lukasz-szewc/issue197,{}
33,b324bcf19,FAIL,0,Fixes #197 : Timeout class constructors grouped together.,{}
34,1c153d259,FAIL,1,Fixes #197 : Refactoring: - Removed unused field from VerificationOverTimeImpl and also from constructor's signature. - improved encapsulation by removing 3 getters from VerificationOverTimeImpl. - reduced visibility of few constructors in 'Timeout' and 'After' classes,{}
35,80452c7a4,FAIL,0,Fixes #197 : Blocks ability to use negative value for timeout() and after() method.,{}
36,d30450fa1,FAIL,1,Increment version '2.0.7-beta' -> '2.0.8-beta' by Travis CI build 451 [ci skip],{}
37,695055ae4,FAIL,0,"""Update release notes by Travis CI build 451 [ci skip]""",{}
38,48ba60878,FAIL,1,Merge pull request #202 from mockito/gh-187,{}
39,f0b7797ae,FAIL,0,Ensure the default answer actually returns a compatible result. Related to #187,{}
40,14366365c,FAIL,1,dumb tab cleanup and reformat,{}
41,42b391d42,FAIL,0,Fixes #187 : print mock name even when default answer is bogus,{}
42,4b5a03d15,FAIL,1,Increment version '2.0.6-beta' -> '2.0.7-beta' by Travis CI build 448 [ci skip],{}
43,838040d3f,FAIL,0,"""Update release notes by Travis CI build 448 [ci skip]""",{}
44,835318772,FAIL,1,Merge pull request #201 from bruceeddy/master,{}
45,cd76884e3,FAIL,0,Fixes #200 : Tweak generic signature of ArgumentCaptor.fromClass,{}
46,d3fd49328,FAIL,1,Adds a commit message exemple in the contributing guide,{}
47,c25cb6bff,FAIL,0,Fixes empty zip error in the ci support classes,{}
48,9b7b30cc6,FAIL,0,Avoid diamond for some reason it now fails,{}
49,2a41aa056,FAIL,1,Added support section,{}
50,75f14b9fe,FAIL,0,Added a support section,{}
51,50898164e,FAIL,1,Version info tweaks,{}
52,66eeaed1f,FAIL,0,Merge pull request #184 from hansjoachim/typo,{}
53,349368caf,FAIL,1,Fixes typo,{}
54,196baef31,FAIL,0,Updates contributing guide following feedback,{}
55,8ce761603,FAIL,1,Increment version '2.0.5-beta' -> '2.0.6-beta' by Travis CI build 434 [ci skip],{}
56,cdbfe05b1,FAIL,0,"""Update release notes by Travis CI build 434 [ci skip]""",{}
57,5bb64f8f9,FAIL,1,Merge pull request #176 from josephw/make-propertyandsetterinjection-sorting-consistent,{}
58,fe09eb7dd,FAIL,0,Move the sorting into its own separate utility class.,{}
59,cc1beb061,FAIL,1,Rename the test to reflect that it's now testing the outer class.,{}
60,ede05da13,FAIL,0,"Fixes #155, avoid use of a non-transitive Comparator in PropertyAndSetterInjection.",{}
61,6ea769f44,FAIL,1,Use a single instance of the comparator for testing.,{}
62,44fbd4985,FAIL,0,Fixes and cleans test code according to the reported issue #169,{}
63,1cc53e69b,FAIL,1,Adds some more unit test ported from ClassImposterizer,{}
64,e6f11dacd,FAIL,0,Fixes typo,{}
65,7d9243bf6,FAIL,1,Upgrades bytebuddy to 0.5.2,{}
66,61ce009e9,FAIL,0,Removes all code dependencies to CGLIB,{}
67,a75e5ea20,FAIL,0,Moves mockmaker code in separate source folders,{}
