id,commit,build,exec_time,comment,fix
0,9a62b06b,SUCCESS,12,Fix NPE in Partial.with(),{}
1,8612f9e5,SUCCESS,11,Fix NPE in Partial.with(),{}
2,8d109fe1,SUCCESS,12,Adding zero no longer changes the offset during DST overlap,{}
3,3ba9ba79,SUCCESS,12,"Prevent creation of invalid partials via Partial.with(DateTimeFieldType,int)",{}
4,bcb04466,SUCCESS,12,Fix NPE in DateTimeUtils.isContiguous with weird partials [#89],{}
5,81a81847,SUCCESS,11,DurationField is incorrect in complex DateTimeField instances,{}
6,a61b3ff2,SUCCESS,13,Simplify tests,{}
7,e72c41ca,SUCCESS,12,Fixup pull request,{}
8,19c4b7b7,SUCCESS,12,Merge pull request #85 from haguenau/master,{}
9,ade422e9,SUCCESS,12,Spelling.,{}
10,88189883,SUCCESS,14,Spelling.,{}
11,3755205b,SUCCESS,13,Spelling.,{}
12,2d9d9cda,SUCCESS,12,Fixup pull request for fraction of second,{}
13,05a0afda,SUCCESS,12,Merge pull request #84 from petedmarsh/add-millis-description,{}
14,8f79f89a,SUCCESS,13,Add a seperate description for fraction of second presentation,{}
15,e02af2cb,SUCCESS,12,Better Javadoc for DateTimeFormatter parsing,{}
16,a6cb59ed,SUCCESS,11,Fix handling of PeriodType when either years or months missing,{}
17,a38b5e0c,SUCCESS,12,Add generics,{}
18,f248cec4,SUCCESS,13,Fix IANA time zone database links,{}
19,ef64bced,SUCCESS,12,Merge pull request #82 from ming13/readme-syntax-highlighting,{}
20,0a47ac1c,SUCCESS,12,Use syntax highlighting in the readme file.,{}
21,4e2042fa,SUCCESS,13,Better Javadoc for DateTimeComparator,{}
22,7889dd16,SUCCESS,15,Ignore time-zone data,{}
23,b4e35700,SUCCESS,16,Record pull request contribution,{}
24,f1266986,SUCCESS,12,Merge pull request #71 from seva-ask/fixForSerializationException,{}
25,06867a48,SUCCESS,11,Add Duration multipliedBy/dividedBy/negated,{}
26,a8e6010c,SUCCESS,12,Merge branch 'master' of https://github.com/bjoernpollex/joda-time into bjoernpollex-master,{}
27,f6f98b71,SUCCESS,12,Remove unnecessary volatile on LocalDate has code instance variable,{}
28,6ac6c0be,SUCCESS,11,Enhance thread-safety documentation,{}
29,d0346a85,SUCCESS,11,Enhance formatting documentation,{}
30,57e51720,SUCCESS,12,added documentation for all newly introduced methods,{}
31,bd39d516,SUCCESS,11,added tests and implementation of `Duration.negated()`,{}
32,6d8d6e62,SUCCESS,12,* added tests and implementation for `Duration.dividedBy(long divisor)` * added tests and implementation for `FieldUtils.safeDivide` * renamed multiplication tests to match method name * renamed parameter name of `Duration.multipliedBy` to match Java 8 API,{}
33,6fbb9bc9,SUCCESS,12,Added tests and implementation for `Duration.multipliedBy(long factor)`,{}
34,fba9e5e6,SUCCESS,11,caches should not be serialized,{}
35,229c7d01,SUCCESS,12,Enhance home page link to release notes,{}
36,970139e6,SUCCESS,11,Fix README reference to change notes,{}
37,13d3ea10,SUCCESS,12,Use ISO8601 for consistency with rest of Joda-Time,{}
38,c23a46bb,SUCCESS,11,Better description of ISO printing/parsing,{}
39,55876b98,SUCCESS,12,Remove uncaughtException calls,{}
40,878d057f,SUCCESS,12,Enhance Javadoc wrt parsing of format patterns,{}
41,cd161852,SUCCESS,11,Merge pull request #53 from RenniePet/Fix-FAQ,{}
42,f6a98adc,SUCCESS,12,Minor tidy,{}
43,2e3dd449,SUCCESS,11,"One too many ""are""s in the heading.",{}
44,aef185e1,SUCCESS,12,Bump version,{}
45,b0fcbb95,SUCCESS,11,Release v2.3,{}
46,bbb38a06,SUCCESS,12,Add additional clirr config,{}
