id,commit,build,exec_time,comment,fix,lastFix
0,9a62b06b,SUCCESS,12,Fix NPE in Partial.with(),{'lastFix': None},
1,8612f9e5,SUCCESS,12,Fix NPE in Partial.with(),{'lastFix': None},
2,8d109fe1,SUCCESS,12,Adding zero no longer changes the offset during DST overlap,{'lastFix': None},
3,3ba9ba79,SUCCESS,12,"Prevent creation of invalid partials via Partial.with(DateTimeFieldType,int)",{'lastFix': None},
4,bcb04466,SUCCESS,11,Fix NPE in DateTimeUtils.isContiguous with weird partials [#89],{'lastFix': None},
5,81a81847,SUCCESS,12,DurationField is incorrect in complex DateTimeField instances,{'lastFix': None},
6,a61b3ff2,SUCCESS,11,Simplify tests,{'lastFix': None},
7,e72c41ca,SUCCESS,14,Fixup pull request,{'lastFix': None},
8,19c4b7b7,SUCCESS,13,Merge pull request #85 from haguenau/master,{'lastFix': None},
9,ade422e9,SUCCESS,13,Spelling.,{'lastFix': None},
10,88189883,SUCCESS,12,Spelling.,{'lastFix': None},
11,3755205b,SUCCESS,11,Spelling.,{'lastFix': None},
12,2d9d9cda,SUCCESS,12,Fixup pull request for fraction of second,{'lastFix': None},
13,05a0afda,SUCCESS,12,Merge pull request #84 from petedmarsh/add-millis-description,{'lastFix': None},
14,8f79f89a,SUCCESS,11,Add a seperate description for fraction of second presentation,{'lastFix': None},
15,e02af2cb,SUCCESS,12,Better Javadoc for DateTimeFormatter parsing,{'lastFix': None},
16,a6cb59ed,SUCCESS,11,Fix handling of PeriodType when either years or months missing,{'lastFix': None},
17,a38b5e0c,SUCCESS,12,Add generics,{'lastFix': None},
18,f248cec4,SUCCESS,11,Fix IANA time zone database links,{'lastFix': None},
19,ef64bced,SUCCESS,11,Merge pull request #82 from ming13/readme-syntax-highlighting,{'lastFix': None},
20,0a47ac1c,SUCCESS,11,Use syntax highlighting in the readme file.,{'lastFix': None},
21,4e2042fa,SUCCESS,16,Better Javadoc for DateTimeComparator,{'lastFix': None},
22,7889dd16,SUCCESS,18,Ignore time-zone data,{'lastFix': None},
23,b4e35700,SUCCESS,18,Record pull request contribution,{'lastFix': None},
24,f1266986,SUCCESS,14,Merge pull request #71 from seva-ask/fixForSerializationException,{'lastFix': None},
25,06867a48,SUCCESS,13,Add Duration multipliedBy/dividedBy/negated,{'lastFix': None},
26,a8e6010c,SUCCESS,16,Merge branch 'master' of https://github.com/bjoernpollex/joda-time into bjoernpollex-master,{'lastFix': None},
27,f6f98b71,SUCCESS,14,Remove unnecessary volatile on LocalDate has code instance variable,{'lastFix': None},
28,6ac6c0be,SUCCESS,14,Enhance thread-safety documentation,{'lastFix': None},
29,d0346a85,SUCCESS,12,Enhance formatting documentation,{'lastFix': None},
30,57e51720,SUCCESS,12,added documentation for all newly introduced methods,{'lastFix': None},
31,bd39d516,SUCCESS,12,added tests and implementation of `Duration.negated()`,{'lastFix': None},
32,6d8d6e62,SUCCESS,14,* added tests and implementation for `Duration.dividedBy(long divisor)` * added tests and implementation for `FieldUtils.safeDivide` * renamed multiplication tests to match method name * renamed parameter name of `Duration.multipliedBy` to match Java 8 API,{'lastFix': None},
33,6fbb9bc9,SUCCESS,14,Added tests and implementation for `Duration.multipliedBy(long factor)`,{'lastFix': None},
34,fba9e5e6,SUCCESS,14,caches should not be serialized,{'lastFix': None},
35,229c7d01,SUCCESS,14,Enhance home page link to release notes,{'lastFix': None},
36,970139e6,SUCCESS,12,Fix README reference to change notes,{'lastFix': None},
37,13d3ea10,SUCCESS,13,Use ISO8601 for consistency with rest of Joda-Time,{'lastFix': None},
38,c23a46bb,SUCCESS,12,Better description of ISO printing/parsing,{'lastFix': None},
39,55876b98,SUCCESS,12,Remove uncaughtException calls,{'lastFix': None},
40,878d057f,SUCCESS,12,Enhance Javadoc wrt parsing of format patterns,{'lastFix': None},
41,cd161852,SUCCESS,12,Merge pull request #53 from RenniePet/Fix-FAQ,{'lastFix': None},
42,f6a98adc,SUCCESS,12,Minor tidy,{'lastFix': None},
43,2e3dd449,SUCCESS,11,"One too many ""are""s in the heading.",{'lastFix': None},
44,aef185e1,SUCCESS,12,Bump version,{'lastFix': None},
45,b0fcbb95,SUCCESS,12,Release v2.3,{'lastFix': None},
