id,commit,build,exec_time,comment,fix
0,d303c8a,SUCCESS,44,Store PathPattern instead of String in attributes,{}
1,ab8310b,SUCCESS,45,Fix HeadersAdapters implementations,{}
2,fdaceeb,SUCCESS,44,Remove checks and updates to transfer-encoding,{}
3,2c5a1af,SUCCESS,44,Leverage Java reflection for Kotlin enums,{}
4,f885910,SUCCESS,44,Remove unused bom import too,{}
5,e14cf69,SUCCESS,43,Remove unused dependencies from spring-messaging,{}
6,93bb78e,SUCCESS,48,Avoid private bean classes in integration tests (for CGLIB on JDK 11),{}
7,b2bf5fe,SUCCESS,44,Next Development Version,{}
8,423aa28,SUCCESS,45,HttpRange validates requested ranges,{}
9,5094941,SUCCESS,44,Upgrade spring-test to Hibernate ORM 5.3.6 (for JDK 11 compatibility),{}
10,608fd76,SUCCESS,46,"Upgrade to Checkstyle 8.13, Groovy 2.5.3, Aalto XML 1.1.1",{}
11,58b3af9,SUCCESS,49,Nullability fine-tuning and related polishing,{}
12,5f2d47a,SUCCESS,42,MethodValidationInterceptor excludes FactoryBean metadata methods,{}
13,2255d22,SUCCESS,45,Fix punctuation in reference manual (#1992),{}
14,ecd0d7f,SUCCESS,42,Complete initialization with bindToRouterFunction,{}
15,309e70a,SUCCESS,44,Separate factory method cache for introspection purposes,{}
16,658c7f9,SUCCESS,42,Lenient date parsing in HeadersResultMatchers,{}
17,c5ca56b,SUCCESS,44,Polish,{}
18,0583091,SUCCESS,42,Merge pull request #1991 from Cikey,{}
19,864d7ea,SUCCESS,43,Fix deprecated property in MBeanExporter documentation,{}
20,bfc5ad8,SUCCESS,46,MockHttpServletRequest resets InputStream/Reader on setContent,{}
21,b7e4a56,SUCCESS,45,Mark PathResourceTests as deprecated (along with PathResource),{}
22,0b2c482,SUCCESS,45,Upgrade to Selenium HtmlUnit Driver 2.33,{}
23,dcf2861,SUCCESS,45,Upgrade to Objenesis 3.0,{}
24,5474995,SUCCESS,45,Exclude original AsmApi class from CGLIB repack jar,{}
25,a2ae5f6,SUCCESS,44,Force CGLIB to always specify ASM7 for its visitors,{}
26,4ee704c,SUCCESS,46,Supplier for timeout result in DeferredResult,{}
27,8df0bc8,SUCCESS,44,Improve access to raw content in WebTestClient,{}
28,c567e65,SUCCESS,44,WritetapConnector internal refactoring,{}
29,050f44d,SUCCESS,44,Rename WebTestClientConnectorTests to match class name,{}
30,60b5161,SUCCESS,42,Upgrade to Reactor Californium-SR1,{}
31,10d5de7,SUCCESS,56,Handle special headers in Tomcat and Jetty,{}
32,8de5c05,SUCCESS,45,Set BEST_MATCHING_HANDLER_ATTRIBUTE in WebFlux.fn,{}
